CodigoAntiguo;IdDoc;CodigoNuevo;Gerencia;Area;EstadoDocumento;Aprobador;Elaborador;FechaVigencia;UltimaRevision;NroRevision;Revisor ;TipoDocumento;Validador;Verificador;Confidencial;Distribuidor;FechaAprobacion;FechaEdicion;NroEdicion;Pais;Titulo
SUS-POL-001;;SUS-POL-001;Sustentabilidad ;Gerencia de Sustentabilidad ;Aprobado;;;;;0;adolfo.sanchez@exsa.net;POLÍTICA;;;;;16/01/2016;16/01/2016;1;Perú;POLÍTICA DEL COMITÉ INTERNO DE SUSTENTABILIDAD
TRA-F-007;;TRA-F-007;Logística ;Transporte;Aprobado;;;;;0;lvelazco@exsa.net;FORMATO;;;;;2/02/2017;2/02/2017;1;Perú;HOJA DE RUTA
EMU-I-011;;EMU-I-011;Operaciones ;Producción Emulsiones ;Aprobado;;;;;0;econde@exsa.net;INSTRUCCIÓN;;;;;22/02/2018;22/02/2019;1;Perú;"PREPARACIÓN DE FÓRMULA 9900 (SLURREX-MA)/
PREPARACIÓN DE FÓRMULA 9060 (SLURREX-AP)"
DMA-P-002;;DMA-P-002;Administración y Finanzas ;Data Maestra ;Aprobado;;;;;0;RPrado@exsa.net;PROCEDIMIENTO;;;;;5/05/2017;5/05/2017;1;Perú;PROCEDIMIENTO DE ADMINISTRACIÓN DEL MAESTRO DE MATERIALES
ADV-F-001;;ADV-F-001;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;FORMATO;;;;;11/09/2015;20/07/2016;2;Perú;SOLICITUD DE DESPACHO
ADV-I-002;;ADV-I-002;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;INSTRUCCIÓN;;;;;20/12/2013;20/12/2013;1;Perú;Práctica Operativa papel Engomado
ADV-MA-001;;ADV-MA-001;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREACION DE NOTA DE DEBITO
ADV-MA-002;;ADV-MA-002;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREACION DE NOTA DE CREDITO CON DEVOLUCION
ADV-MA-003;;ADV-MA-003;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREAR PEDIDO DE SERVICIO
ADV-MA-004;;ADV-MA-004;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREACION DE PEDIDO DE NOTA DE CREDITO SIN MERCADERIA
ADV-MA-005;;ADV-MA-005;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;PROCESO DE PEDIDOS DE EXPORTACION
ADV-MA-006;;ADV-MA-006;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;PROCESO FACTURACIÓN
ADV-MA-007;;ADV-MA-007;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú; PROCESO DE PEDIDO DE VENTA ESTANDAR
ADV-MA-008;;ADV-MA-008;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREAR, MODIFICAR Y ANULAR ENTREGA
ADV-MA-009;;ADV-MA-009;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;CREAR, MODIFICAR Y ANULAR PEDIDO ABIERTO
ADV-MA-010;;ADV-MA-010;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;MANUAL;;;;;7/01/2014;7/01/2014;1;Perú;PROCESO DE PEDIDOS DE FACTURA ANTICIPADA
ADV-P-001;;ADV-P-001;Comercial y Marketing;Administración de Ventas ;Aprobado;;;;;0;mfeijoo@exsa.net;PROCEDIMIENTO;;;;;20/12/2013;12/05/2017;3;Perú;PROCESO DE ATENCION DE PEDIDOS
ALM-F-027;;AMP-F-001;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;14/08/2015;14/08/2015;1;Perú;INSPECCIÓN ALMACENES MATERIA PRIMA
ALM-F-028;;AMP-F-002;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;31/07/2015;31/07/2015;1;Perú;CHECK LIST DESCARGA COMBUSTIBLE
ALM-F-029;;AMP-F-003;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;29/11/2016;31/07/2015;2;Perú;CHECK LIST INSPECCIÓN DE MONTAGARGA
ALM-F-030;;AMP-F-004;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;8/08/2017;8/08/2017;1;Perú;AJUSTE DE INVENTARIO
ALM-F-032;;AMP-F-005;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;21/11/2016;14/08/2015;1;Perú;INSPECCIÓN ALMACENES MATERIA PRIMA
ALM-F-033;;AMP-F-006;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;21/11/2016;23/05/2017;2;Perú;CHECK LIST DESCARGA DE COMBUSTIBLE
ALM-F-034;;AMP-F-007;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;23/02/2017;23/02/2017;1;Perú;TARJETA DE CONTROL
ALM-F-035;;AMP-F-008;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;17/04/2017;17/04/2017;1;Perú;DESPACHO DE COMBUSTIBLES
ALM-F-036;;AMP-F-009;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;17/04/2017;17/04/2017;1;Perú;DESPACHO TURNO NOCHE
ALM-F-037;;AMP-F-010;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;FORMATO;;;;;26/06/2017;26/06/2017;1;Perú;LISTA DE VERIFICACIÓN ALMACENES DE MATERIAS PRIMAS
ALM-I-005;;AMP-I-001;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;INSTRUCCIÓN;;;;;24/08/2015;4/08/2017;3;Perú;TOMA DE INVENTARIOS CICLICOS
ALM-I-006;;AMP-I-002;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;INSTRUCCIÓN;;;;;8/08/2017;8/08/2017;1;Perú;AJUSTE DE INVENTARIO
ALM-I-009;;AMP-I-003;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;INSTRUCCIÓN;;;;;24/06/2016;24/06/2016;1;Perú;RECEPCIÓN Y ALMACENAMIENTO NITRATO DE AMONIO
ALM-I-010;;AMP-I-004;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;INSTRUCCIÓN;;;;;5/08/2016;5/08/2016;1;Perú;ROTULACIÓN E IDENTIFICACIÓN DE MATERIALES
ALM-I-011;;AMP-I-005;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;INSTRUCCIÓN;;;;;26/03/2018;26/03/2018;1;Perú;ALMACENAMIENTO DE NITRATO DE AMONIO
ALM-P-001;;AMP-P-001;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;2/12/2013;27/04/2017;3;Perú;RECEPCIÓN Y ALMACENAMIENTO DE MATERIAS PRIMAS
ALM-P-004;;AMP-P-004;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;2/12/2013;13/07/2017;2;Perú;DESPACHO DE SUMINISTROS
ALM-P-006;;AMP-P-005;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;1/06/2017;1/06/2017;1;Perú;PROCEDIMIENTO DE PAGO A PROVEEDORES DE ALMACENES
ALM-TA-001;;AMP-TA-001;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;TABLA;;;;;4/05/2015;26/12/2016;2;Perú;MATERIALES    PELIGROSOS   ALMACÉN   MATERIAIS   PRIMAS
ALM-TA-002;;AMP-TA-002;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;TABLA;;;;;9/07/2015;9/01/2017;1;Perú;MATERIALES FISCALIZADOS - ALMACENES MATERIA PRIMA Y SUMINISTROS
ALM-TA-003;;AMP-TA-003;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;TABLA;;;;;3/09/2015;23/02/2017;2;Perú;TABLA DE SEGREGACIÓN DE MERCANCÍAS PELIGROSAS
ALM-TA-004;;AMP-TA-004;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;TABLA;;;;;30/05/2017;30/05/2017;1;Perú;LISTA FIRMAS AUTORIZADAS - DEVOLUCIONES ALMACÉN
ALM-TA-006;;AMP-TA-005;Logística ;Almacén de Materia Prima ;Aprobado;;;;;0;htocon@exsa.net;TABLA;;;;;31/10/2018;31/10/2018;1;Perú;CONVERSOR DE COMBUSTIBLE
ASC-F-006;;ASE-F-001;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;21/03/2019;21/03/2019;1;Perú;CONTROL DE QUEMADO DE RESIDUOS EXPLOSIVOS
ASC-F-008;;ASE-F-002;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;14/01/2019;14/01/2019;1;Perú;CONTROL DE DETONADORES NO ELÉCTRICOS - PRODUCTO TERMINADO
ASC-F-010;;ASE-F-003;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;14/01/2019;14/01/2019;1;Perú;CONTROL DE  INSUMOS Y  MATERIALES DIVERSOS
ASC-F-026;;ASE-F-004;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;6/02/2019;6/02/2019;1;Perú;ANÁLISIS DE ÁCIDOS - NAC SAC
ASC-F-027;;ASE-F-005;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;6/02/2019;6/02/2019;1;Perú;ANALISIS DE ACIDOS NGL- GLICERINA/GLICOL                                                                                    CARBONATO DE SODIO
ASC-F-042;;ASE-F-006 ;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;24/09/2018;30/11/2018;2;Perú;CONTROL DE NGL
ASC-F-052;;ASE-F-007;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE BOLSAS PLASTICAS
ASC-F-053;;ASE-F-008;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;31/11/2018;31/11/2018;1;Perú;CONTROL DE SACOS DE POLIPROPILENO
ASC-F-054;;ASE-F-010;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;19/06/2015;30/02/2019;3;Perú;CONTROL DE CAJAS DE CARTON
ASC-F-055;;ASE-F-011;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE LAMINAS PLASTICAS
ASC-F-060;;ASE-F-012;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE PAPEL KRAFT
ASC-F-063;;ASE-F-013;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;16/11/2018;16/11/2018;1;Perú;CONTROL DE CALIDAD TUBO DE CHOQUE
ASC-F-065;;ASE-F-014;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;24/09/2018;24/09/2018;1;Perú;CONTROL DE CORDON DETONANTE
ASC-F-070;;ASE-F-015;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE ENVACE PLASTICO CILINDRICO
ASC-F-071;;ASE-F-016 ;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE TUBO DE CARTON PARAFINADO
ASC-F-072;;ASE-F-017 ;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DE TUBO  DE CARTON  CON EMPALME EXSATRON
ASC-F-073;;ASE-F-018;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;ETIQUETAS PARA CAJAS
ASC-F-074;;ASE-F-019;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;ETIQUETAS PARA ACCESORIOS
ASC-F-080;;ASE-F-020;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;24/09/2018;24/09/2018;1;Perú;CONTROL SEMIELABORADO - CORDÓN DETONANTE
ASC-F-081;;ASE-F-021;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;15/11/2018;14/01/2019;2;Perú;LISTA DE VERIFICACION DIARIA DE INICIO DE LABORES
ASC-F-082;;ASE-F-022;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DEL CARRETE DE MADERA IMPORT. TUBO DE CHOQUE
ASC-F-083;;ASE-F-023;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DEL CARRETE DE MADERA TUBO DE CHOQUE  (NACIONAL)
ASC-F-084;;ASE-F-024;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;30/11/2018;30/11/2018;1;Perú;CONTROL DEL CARRETE DE MADERA NORDEX
ASC-F-085;;ASE-F-025;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;14/12/2018;14/12/2018;1;Perú;Concesión de Materias Primas, Producto Terminado y Mercadería
ASC-F-086;;ASE-F-026;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;14/01/2019;22/01/2019;2;Perú;ANALISIS DE ACIDO NITRICO  Y  AGUA ACIDA  DE PLANTA DE PETN
ASC-F-087;;ASE-F-027;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;14/01/2019;15/02/2019;2;Perú;EVALUACION DE PETN  PARA DETONADORES
ASC-F-088;;ASE-F-028;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;22/01/2019;22/01/2019;1;Perú;EVALUACION DE DIAZODINITROFENOL (DDNP)
ASC-F-089;;ASE-F-029;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;5/02/2019;5/02/2019;1;Perú;CONTROL DE EMPAQUE FLEXIBLE BIG BAG
ASC-F-090;;ASE-F-030;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;FORMATO;;;;;15/02/2019;15/02/2019;1;Perú;INFORME TÉCNICO DE DIAZODINITROFENOL (DDNP)
ASC-PL-001;;ASE-PL-001 ;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;PLANES Y/O PROGRAMAS;;;;;4/09/2018;4/09/2018;1;Perú;PLAN DE CALIDAD - PROCESO DE  ENSAMBLE DNE
ASC-PO-001;;ASE-PO-001;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;PRÁCTICA OPERATIVA;;;;;4/09/2018;4/09/2018;1;Perú;DETERMINACION DEL AJUSTE DEL CRIMPADO ( PULL TEST)
ASC-PO-002;;ASE-PO-002;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;PRÁCTICA OPERATIVA;;;;;4/09/2018;4/09/2018;1;Perú;DIAMETRO DEL CRIMPADO DE LOS DETONADORES NO ELECTRICOS
ASC-PO-003;;ASE-PO-003;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;PRÁCTICA OPERATIVA;;;;;4/09/2018;4/09/2018;1;Perú;ALTURA DE LA MANGA DE CIERRE EN DETONADORES NO ELECTRICOS
ASC-PO-004;;ASE-PO-004;Sustentabilidad ;Aseguramiento de la Calidad;Aprobado;;;;;0;jmendoza@exsa.net;PRÁCTICA OPERATIVA;;;;;4/09/2018;4/09/2018;1;Perú;ALTURA DE AJUSTE DEL PRIMER CRIMPADO
ATT-P-001;;ATT-P-001;Comercial y Marketing;Unidad de Negocio Tajo;Aprobado;;;;;0;parnillas@exsa.net;PROCEDIMIENTO;;;;;3/05/2017;3/05/2017;1;Perú;SISTEMA DE INICIACIÓN ELECTRÓNICA
CAS-F-001;;OLC-F-001;Logística ;Gerencia de Logística;Aprobado;;;;;0;csawada@exsa.net;FORMATO;;;;;18/05/2017;18/05/2017;1;Perú;FORMATO DE PRE-LIQUIDACIONES DE SERVICIOS
CAS-F-002;;OLC-F-002;Logística ;Gerencia de Logística;Aprobado;;;;;0;csawada@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;Términos Referencia Administrstivos y comerciales
CAS-RG-001;;OLC-RG-001;Logística ;Gerencia de Logística;Aprobado;;;;;0;csawada@exsa.net;REGLAMENTO;;;;;3/04/2017;31/05/2018;2;Perú;CONDICIONES GENERALES PARA COMPRA
CAS-RG-002;;OLC-RG-002;Logística ;Gerencia de Logística;Aprobado;;;;;0;csawada@exsa.net;REGLAMENTO;;;;;3/04/2017;31/05/2018;2;Perú;ACUERDO DE CALIDAD DE INSUMOS
CAS-RG-003;;OLC-RG-003;Logística ;Gerencia de Logística;Aprobado;;;;;0;csawada@exsa.net;REGLAMENTO;;;;;31/05/2018;31/05/2018;1;Perú;NORMAS DE SEGURIDAD PARA TRANSPORTISTAS
TRF-F-003;;CMX-F-001;Logística ;Comercio Exterior ;Aprobado;;;;;0;alopez@exsa.net;FORMATO;;;;;28/03/2017;28/03/2017;1;Perú;FORMATO DE TRAZABILIDAD DE PRECINTOS
TRF-F-004;;CMX-F-002;Logística ;Comercio Exterior ;Aprobado;;;;;0;alopez@exsa.net;FORMATO;;;;;28/03/2017;28/03/2017;1;Perú;CHECK LIST DE EXPORTACIÓN
TRF-I-001;;CMX-I-001;Logística ;Comercio Exterior ;Aprobado;;;;;0;alopez@exsa.net;INSTRUCCIÓN;;;;;14/08/2014;14/08/2014;3;Perú;ELABORACIÓN DEL EXPEDIENTE DRAWBACK
TRF-P-001;;CMX-P-001;Logística ;Comercio Exterior ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;28/12/2011;27/03/2017;4;Perú;EXPORTACION MARITIMA
TRF-P-004;;CMX-P-002;Logística ;Comercio Exterior ;Aprobado;;;;;0;lfernandez@xsa.net;PROCEDIMIENTO;;;;;8/09/2014;9/06/2017;2;Perú;IMPORTACIÓN MARÍTIMA
COP-F-006;;COP-F-006;Logística ;Compras de Materias Primas;Aprobado;;;;;0;pvallejos@exsa.net;FORMATO;;;;;31/05/2018;31/05/2018;1;Perú;Declaración Jurada - Politica de conflicto de intereses
COP-F-008;;COP-F-008;Logística ;Compras de Materias Primas;Aprobado;;;;;0;pvallejos@exsa.net;FORMATO;;;;;1/09/2017;31/05/2018;2;Perú;CONVENIO DE CONFIDENCIALIDAD
COP-I-001;;COP-I-001;Logística ;Compras de Materias Primas;Aprobado;;;;;0;pvallejos@exsa.net;INSTRUCCIÓN;;;;;15/04/2013;31/05/2018;2;Perú;INSTRUCTIVO PARA LA ELABORACIÓN DE UN ACUERDO DE NIVEL DE SERVICIO - SLA
COG-F-001;;COG-F-001;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;7/09/2015;7/09/2015;1;Perú;ORDEN DE TRABAJO
COG-F-002;;COG-F-002;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;8/05/2017;8/05/2017;1;Perú;ALCANCE DE TRABAJO
COG-F-003;;COG-F-003;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;4/05/2017;4/05/2017;1;Perú;LISTADO DE PROVEEDORES HOMOLOGADOS
COG-F-004;;COG-F-004;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;8/05/2017;8/05/2017;1;Perú;SUSTENTO DE REGULARIZACIÓN
COG-F-005;;COG-F-005;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;8/05/2017;8/05/2017;1;Perú;SUSTENTO DE ADJUDICACIÓN DIRECTA
COG-F-006;;COG-F-006;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;ORDEN DE CAMBIO
COG-F-007;;COG-F-007;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;HOJA DE DATOS
COG-F-008;;COG-F-008;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;CARTA DE ADJUDICACIÓN
COG-F-009;;COG-F-009;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;INFORMACIÓN DE PROVEEDOR PARA HOMOLOGACIÓN
COG-F-010;;COG-F-010;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;HOMOLAGOCIÓN DE PROVEEDOR Tipo E1
COG-F-011;;COG-F-011;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;INFORMACIÓN DE PROVEEDOR PARA HOMOLOGACIÓN TIPO E2
COG-F-012;;COG-F-012;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;HOMOLAGOCIÓN DE PROVEEDOR Tipo E2
COG-F-013;;COG-F-013;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;INFORMACIÓN DE PROVEEDOR PARA HOMOLOGACIÓN TIPO E3
COG-F-014;;COG-F-014;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;HOMOLOGACIÓN DE PROVEEDOR TIPO E3
COG-F-015;;COG-F-015;Logística ;Compras Generales ;Aprobado;;;;;0;gvega@exsa.net;FORMATO;;;;;30/05/2017;30/05/2017;1;Perú;ABSOLUCIÓN DE CONSULTAS
